0	364.0
13720	1.0
5673	4.0
39048	6.0
1187	401.0
20580	3.0
11608	0.0
3299	1.0
2112	62.0
46833	1.0
17019	2.0
69787	0.0
22692	6.0
40235	1.0
21767	1.0
20842	13.0
1449	592.0
31263	0.0
5411	348.0
4224	2.0
70311	3.0
2636	7.0
55805	1.0
43796	1.0
22029	1.0
16757	5.0
3561	346.0
4486	4.0
24141	1.0
6336	7.0
43534	1.0
26916	2.0
2898	60.0
3962	957.0
13196	341.0
25729	2.0
10822	2.0
17682	16.0
7523	340.0
39449	0.0
22430	43.0
663	734.0
21104	2.0
1711	271.0
23355	5.0
3037	3.0
5272	12.0
25590	3.0
15431	4.0
44058	1.0
28365	1.0
4347	55.0
4887	8.0
16880	1.0
38123	2.0
20981	1.0
28889	0.0
12271	16.0
9496	62.0
36273	8.0
262	1.0
30215	3.0
21906	1.0
7646	1.0
1588	34.0
6721	4.0
37198	1.0
25189	2.0
56591	1.0
45507	1.0
34423	8.0
4609	7.0
84833	1.0
7924	1.0
26392	1.0
57377	0.0
13843	2.0
21644	27.0
40358	2.0
7908	198.0
36797	1.0
1326	192.0
3422	1.0
26130	142.0
5812	7.0
16896	2.0
68477	1.0
3160	213.0
11207	0.0
7245	6.0
1989	60.0
11223	78.0
10544	1.0
6074	6.0
28242	1.0
1310	665.0
20195	10.0
37075	2.0
9357	4.0
46047	1.0
38246	1.0
123	343.0
9111	42.0
1973	97.0
9758	1.0
67028	1.0
7507	54.0
23494	9.0
1727	4.0
540	394.0
16741	1.0
33760	1.0
14244	49.0
11993	8.0
26793	1.0
5026	81.0
25975	51.0
5010	7.0
15308	5.0
47496	0.0
43010	3.0
8710	28.0
52244	1.0
22676	1.0
909	436.0
10560	37.0
30076	1.0
65579	1.0
17543	19.0
31910	12.0
15292	1.0
3176	80.0
4208	3.0
2775	1.0
925	19.0
9218	83.0
44737	1.0
29798	6.0
11592	17.0
54896	1.0
6876	59.0
28643	8.0
13736	1.0
4732	215.0
5657	5.0
9250	3.0
12779	0.0
1203	40.0
8293	327.0
13704	13.0
35241	24.0
58719	1.0
12811	30.0
33621	1.0
278	3.0
28349	1.0
66210	1.0
30092	1.0
18190	18.0
7106	11.0
5427	5.0
15816	2.0
2652	265.0
14399	29.0
4240	4.0
37214	0.0
22414	5.0
4069	2370.0
53415	1.0
3978	2.0
14490	5.0
7630	17.0
8555	40.0
60168	1.0
47742	3.0
18746	3.0
41700	1.0
9881	6.0
1695	20.0
12148	6.0
7662	13.0
16479	31.0
2620	194.0
9389	30.0
7138	1.0
9913	0.0
